# Simulation 1 (Up to date)
# 357 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.751,620.315,0.037,3.366e5,0.546,0.546,0.236,0.19,0.12,0.003,15.302,846.01
9.801,620.936,0.036,3.234e5,0.548,0.548,0.238,0.19,0.12,0.003,15.297,845.949
9.851,621.532,0.034,3.102e5,0.55,0.55,0.24,0.189,0.12,0.004,15.292,845.891
9.901,622.104,0.033,2.97e5,0.552,0.552,0.243,0.189,0.12,0.004,15.288,845.835
9.951,622.65,0.031,2.838e5,0.554,0.554,0.245,0.189,0.12,0.005,15.284,845.781
10.001,623.172,0.03,2.706e5,0.556,0.556,0.248,0.188,0.12,0.006,15.28,845.73
10.051,623.669,0.028,2.575e5,0.559,0.559,0.251,0.188,0.12,0.007,15.276,845.681
10.101,624.141,0.027,2.443e5,0.561,0.561,0.254,0.187,0.12,0.008,15.273,845.635
10.151,624.589,0.026,2.312e5,0.564,0.564,0.257,0.187,0.12,0.009,15.269,845.591
10.201,625.012,0.024,2.181e5,0.567,0.567,0.261,0.186,0.12,0.011,15.266,845.549
10.251,625.41,0.023,2.05e5,0.57,0.57,0.264,0.186,0.12,0.013,15.263,845.51
10.301,625.784,0.021,1.919e5,0.574,0.574,0.269,0.185,0.12,0.016,15.26,845.474
10.351,626.133,0.02,1.789e5,0.578,0.578,0.273,0.185,0.12,0.019,15.258,845.439
10.401,626.457,0.018,1.658e5,0.582,0.582,0.278,0.184,0.12,0.023,15.255,845.408
10.451,626.757,0.017,1.528e5,0.587,0.587,0.284,0.183,0.12,0.028,15.253,845.378
10.501,627.033,0.015,1.397e5,0.593,0.593,0.29,0.183,0.12,0.034,15.251,845.351
10.551,627.283,0.014,1.267e5,0.599,0.599,0.297,0.182,0.12,0.042,15.249,845.327
10.601,627.51,0.013,1.137e5,0.607,0.607,0.305,0.181,0.12,0.052,15.247,845.304
10.651,627.711,0.011,1.007e5,0.616,0.616,0.315,0.18,0.12,0.065,15.246,845.285
10.701,627.889,0.01,8.764e4,0.626,0.627,0.326,0.18,0.12,0.084,15.244,845.267
10.751,628.042,0.008,7.464e4,0.639,0.64,0.341,0.179,0.12,0.11,15.243,845.252
10.801,628.17,0.007,6.164e4,0.656,0.658,0.359,0.178,0.12,0.149,15.242,845.24
10.851,628.274,0.005,4.865e4,0.68,0.684,0.383,0.176,0.12,0.212,15.241,845.229
10.901,628.353,0.004,3.567e4,0.714,0.723,0.419,0.175,0.12,0.327,15.241,845.222
